rank,email,brand,score,description
1,oyiaxvpskh@yahoo.com,Skechers,2,primary
2,oyiaxvpskh@yahoo.com,Guess,2,secondary
3,oyiaxvpskh@yahoo.com,Timberland,1,secondary
1,nqnghfvsjn@hotmail.com,Converse,1,primary
1,vnsunienix@hotmail.com,Timberland,1,primary
2,vnsunienix@hotmail.com,Maruti,1,secondary
3,vnsunienix@hotmail.com,Birkenstock,1,secondary
1,ksecrvniug@yahoo.com,Timberland,1,primary
2,ksecrvniug@yahoo.com,Mexx,1,secondary
3,ksecrvniug@yahoo.com,Kipling,1,secondary
1,qpaekucgck@hotmail.com,Skechers,1,primary
2,qpaekucgck@hotmail.com,Maruti,1,secondary
3,qpaekucgck@hotmail.com,La Strada,1,secondary
1,wffcqubozj@hotmail.com,Skechers,1,primary
1,anhnhediue@gmail.com,Mexx,1,primary
2,anhnhediue@gmail.com,Ecco,1,secondary
3,anhnhediue@gmail.com,Dr. Martens,1,secondary
1,julaigxbly@outlook.com,Ara,4,primary
2,julaigxbly@outlook.com,Skechers,3,secondary
3,julaigxbly@outlook.com,Dr. Martens,2,secondary
1,ruftqoafut@hotmail.com,Dr. Martens,2,primary
2,ruftqoafut@hotmail.com,Guess,1,secondary
3,ruftqoafut@hotmail.com,Gabor,1,secondary
1,insgstofbb@gmail.com,La Strada,2,primary
2,insgstofbb@gmail.com,Ecco,1,secondary
3,insgstofbb@gmail.com,Birkenstock,1,secondary
1,blixlzlisj@gmail.com,Ecco,2,primary
2,blixlzlisj@gmail.com,Dr. Martens,2,secondary
3,blixlzlisj@gmail.com,Converse,2,secondary
1,ahcmnxxxcj@outlook.com,Dr. Martens,2,primary
2,ahcmnxxxcj@outlook.com,Kipling,1,secondary
3,ahcmnxxxcj@outlook.com,Ara,1,secondary
1,vebftneruw@gmail.com,Ara,5,primary
2,vebftneruw@gmail.com,Skechers,2,secondary
3,vebftneruw@gmail.com,Ecco,2,secondary
1,xxengycejx@yahoo.com,Skechers,2,primary
2,xxengycejx@yahoo.com,Dr. Martens,1,secondary
3,xxengycejx@yahoo.com,Ara,1,secondary
1,wreqhxuhvx@hotmail.com,Skechers,1,primary
2,wreqhxuhvx@hotmail.com,Converse,1,secondary
3,wreqhxuhvx@hotmail.com,Ara,1,secondary
1,jhltcfktoe@gmail.com,Timberland,2,primary
2,jhltcfktoe@gmail.com,Gabor,2,secondary
3,jhltcfktoe@gmail.com,Hugo Boss,1,secondary
1,lpzpnykeun@outlook.com,Gabor,1,primary
2,lpzpnykeun@outlook.com,Ecco,1,secondary
3,lpzpnykeun@outlook.com,Dr. Martens,1,secondary
1,zbfsxkhuqv@hotmail.com,Mexx,1,primary
2,zbfsxkhuqv@hotmail.com,Gabor,1,secondary
3,zbfsxkhuqv@hotmail.com,Converse,1,secondary
1,rusjncjuxq@outlook.com,Ecco,1,primary
1,jtbqfiexwt@outlook.com,Timberland,3,primary
2,jtbqfiexwt@outlook.com,Ara,2,secondary
3,jtbqfiexwt@outlook.com,Skechers,1,secondary
1,unmxafzqwv@outlook.com,Gabor,2,primary
2,unmxafzqwv@outlook.com,Ecco,1,secondary
